-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.027,  0.148
-183.800, 80.198, 0.026,  0.181
-183.800, 80.197, 0.030,  0.214
-183.800, 80.193, 0.123,  0.247
-183.798, 80.185, 0.287,  0.280
-183.796, 80.171, 0.405,  0.313
-183.793, 80.152, 0.609,  0.346
-183.789, 80.124, 0.856,  0.379
-183.784, 80.089, 1.060,  0.412
-183.778, 80.049, 1.225,  0.445
-183.771, 80.004, 1.350,  0.478
-183.764, 79.956, 1.438,  0.511
-183.756, 79.908, 1.464,  0.544
-183.749, 79.860, 1.471,  0.577
-183.741, 79.812, 1.472,  0.610
-183.733, 79.764, 1.469,  0.643
-183.725, 79.717, 1.464,  0.676
-183.716, 79.670, 1.456,  0.709
-183.708, 79.623, 1.448,  0.742
-183.699, 79.576, 1.441,  0.775
-183.691, 79.529, 1.434,  0.808
-183.682, 79.483, 1.429,  0.841
-183.673, 79.437, 1.425,  0.874
-183.664, 79.390, 1.424,  0.907
-183.655, 79.344, 1.425,  0.940
-183.645, 79.298, 1.428,  0.973
-183.635, 79.251, 1.432,  1.006
-183.626, 79.204, 1.438,  1.039
-183.616, 79.157, 1.444,  1.072
-183.605, 79.110, 1.452,  1.105
-183.595, 79.063, 1.460,  1.138
-183.584, 79.015, 1.469,  1.171
-183.574, 78.967, 1.477,  1.204
-183.563, 78.919, 1.485,  1.237
-183.551, 78.870, 1.493,  1.270
-183.540, 78.821, 1.500,  1.303
-183.528, 78.773, 1.499,  1.336
-183.517, 78.724, 1.500,  1.369
-183.505, 78.675, 1.502,  1.402
-183.493, 78.626, 1.505,  1.435
-183.481, 78.577, 1.510,  1.468
-183.468, 78.528, 1.516,  1.501
-183.456, 78.479, 1.523,  1.534
-183.443, 78.429, 1.530,  1.567
-183.430, 78.379, 1.538,  1.600
-183.417, 78.329, 1.546,  1.633
-183.404, 78.279, 1.554,  1.666
-183.390, 78.229, 1.562,  1.699
-183.376, 78.178, 1.570,  1.732
